id,name,porosity,permeability,grain_size,description,swi,krel_gas,krel_water
1,other,0,0,0,other,0,0,0
2,beads #1,0.4,1.00E+00,1,beads,0,1,1
3,beads #2,0.4,1,1,beads,0,1,1
4,beads #3,0.4,1,1,beads,0,1,1
5,beads #4,0.4,1,1,beads,0,1,1
6,beads #5,0.4,1,1,beads,0,1,1
7,beads #5,0.4,1,1,beads,0,1,1
