ID,location_x,location_y,Start,End,Rate_sccm,density kg/m3,Comments
1,0.5,0.5,2025-10-10 12:02:45,2025-10-10 12:17:45,50,1.872,known rate
2,0.5,0.5,2025-10-10 12:17:45,2025-10-13 09:51:30,10,1.872,injection stopped
