ID,location_x,location_y,Start,End,Rate_sccm,density kg/m3,Comments
1,0.5,0.5,2025-11-12 09:53:30,2025-11-12 10:08:30,50,1.872,known rate
2,0.5,0.5,2025-11-12 10:08:30,2025-11-24 09:34:00,10,1.872,injection stopped
