ID,location_x,location_y,Start,End,Rate_sccm,density kg/m3,Comments
1,0.5,0.5,2025-08-25 16:49:00,2025-08-25 17:04:00,50,1.872,known rate
2,0.5,0.5,2025-08-25 17:04:00,2025-09-06 05:22:30,10,1.872,injection stopped
