ID,location_x,location_y,Start,End,Rate_sccm,density kg/m3,Comments
1,0.5,0.5,2025-09-18 10:22:00,2025-09-18 10:37:00,50,1.872,known rate
2,0.5,0.5,2025-09-18 10:37:00,2025-10-06 10:17:30,10,1.872,injection stopped
