ID,location_x,location_y,Start,End,Rate_sccm,density kg/m3,Comments
1,0.5,0.5,2025-09-12 11:16:15,2025-09-12 11:31:15,50,1.872,known rate
2,0.5,0.5,2025-09-12 11:31:15,2025-09-15 08:14:00,10,1.872,injection stopped
