ID,location_x,location_y,Start,End,Rate_sccm,density kg/m3,Comments
1,0.5,0.5,2026-02-20 10:59:30,2026-02-20 11:14:30,50,1.872,known rate
2,0.5,0.5,2026-02-20 11:14:30,2026-03-08 19:27:30,10,1.872,injection stopped
